seed,t,neighbors,count,entropy,nll
0,0.25,0,21727,1.2083059549331665,1.2043870687484741
0,0.25,1,7151,1.0757362842559814,1.0654226541519165
0,0.25,2,838,0.8288992047309875,0.818387508392334
0,0.25,3,40,0.641807496547699,0.6102825403213501
0,0.5,0,7038,1.0684154033660889,1.0324620008468628
0,0.5,1,10211,0.822730541229248,0.8000745177268982
0,0.5,2,5264,0.5977461934089661,0.5784862041473389
0,0.5,3,1162,0.4154397249221802,0.37364661693573
0,0.5,4,88,0.2729630470275879,0.29324570298194885
0,0.75,0,523,0.7176313996315002,0.6603206992149353
0,0.75,1,2763,0.6011532545089722,0.5627562403678894
0,0.75,2,5042,0.4492361843585968,0.41894933581352234
0,0.75,3,4186,0.34091445803642273,0.2984241247177124
0,0.75,4,1333,0.25067275762557983,0.20744116604328156
1,0.25,0,21423,1.2138714790344238,1.2055165767669678
1,0.25,1,7358,1.0390530824661255,1.0279639959335327
1,0.25,2,867,0.8177657723426819,0.8367524147033691
1,0.25,3,39,0.8897241353988647,0.9103452563285828
1,0.25,4,3,0.24781492352485657,2.6500420570373535
1,0.5,0,7271,1.056894063949585,1.0436162948608398
1,0.5,1,10019,0.8008422255516052,0.7703863382339478
1,0.5,2,5247,0.5954983234405518,0.5602438449859619
1,0.5,3,1139,0.4455975294113159,0.424570232629776
1,0.5,4,89,0.20400872826576233,0.15461435914039612
1,0.75,0,598,0.7301104068756104,0.6952679753303528
1,0.75,1,2795,0.6029472947120667,0.5691243410110474
1,0.75,2,4888,0.45116299390792847,0.4289831519126892
1,0.75,3,4268,0.3272894024848938,0.3119809925556183
1,0.75,4,1258,0.23163165152072906,0.20549188554286957
2,0.25,0,21814,1.2056913375854492,1.2173089981079102
2,0.25,1,7127,1.0710054636001587,1.0501447916030884
2,0.25,2,826,0.8100948333740234,0.7899420261383057
2,0.25,3,26,0.5519343614578247,0.3646448254585266
2,0.5,0,7341,1.02717125415802,1.024463415145874
2,0.5,1,9985,0.8049371838569641,0.7866541743278503
2,0.5,2,5196,0.5988380312919617,0.5593801140785217
2,0.5,3,1172,0.457208514213562,0.4481540620326996
2,0.5,4,86,0.42006054520606995,0.38061442971229553
2,0.75,0,619,0.8260676860809326,0.8083663582801819
2,0.75,1,2767,0.5838843584060669,0.5626389384269714
2,0.75,2,5037,0.45611944794654846,0.41925573348999023
2,0.75,3,4182,0.32142266631126404,0.29595500230789185
2,0.75,4,1306,0.24041491746902466,0.2210402935743332
3,0.25,0,21754,1.190312385559082,1.1904687881469727
3,0.25,1,7149,1.061009168624878,1.033782958984375
3,0.25,2,827,0.8587992191314697,0.8054697513580322
3,0.25,3,43,0.6060276627540588,0.482580304145813
3,0.5,0,7304,1.0452765226364136,1.0206021070480347
3,0.5,1,10025,0.8171250820159912,0.7947591543197632
3,0.5,2,5129,0.6092343926429749,0.5768114924430847
3,0.5,3,1148,0.42635560035705566,0.41023293137550354
3,0.5,4,112,0.24762439727783203,0.24576163291931152
3,0.75,0,612,0.7447453737258911,0.6665238738059998
3,0.75,1,2946,0.585234522819519,0.554266631603241
3,0.75,2,5029,0.4369589686393738,0.3983483910560608
3,0.75,3,4121,0.33234313130378723,0.2954169511795044
3,0.75,4,1280,0.24588100612163544,0.2057473510503769
