run_label,loss,sce_radius,seed,method,nfe,valid,novel,unique_valid,unique_novel,total
ce_s0,ce,,0,euler,8,229,206,229,206,1024
ce_s0,ce,,0,neighbor,8,208,176,208,176,1024
ce_s0,ce,,0,entropy,8,42,40,42,40,1024
ce_s0,ce,,0,euler,16,359,297,359,297,1024
ce_s0,ce,,0,neighbor,16,339,288,339,288,1024
ce_s0,ce,,0,entropy,16,153,147,153,147,1024
ce_s0,ce,,0,euler,32,401,320,401,320,1024
ce_s0,ce,,0,neighbor,32,401,336,401,336,1024
ce_s0,ce,,0,entropy,32,261,239,261,239,1024
ce_s0,ce,,0,euler,64,412,330,412,330,1024
ce_s0,ce,,0,neighbor,64,467,383,467,383,1024
ce_s0,ce,,0,entropy,64,354,302,354,302,1024
ce_s0,ce,,0,euler,128,451,369,451,369,1024
ce_s0,ce,,0,neighbor,128,467,373,467,373,1024
ce_s0,ce,,0,entropy,128,453,377,453,377,1024
ce_s0,ce,,0,euler,256,467,385,466,385,1024
ce_s0,ce,,0,neighbor,256,493,396,492,395,1024
ce_s0,ce,,0,entropy,256,550,442,550,442,1024
ce_s1,ce,,1,euler,8,246,219,246,219,1024
ce_s1,ce,,1,neighbor,8,207,186,207,186,1024
ce_s1,ce,,1,entropy,8,53,49,53,49,1024
ce_s1,ce,,1,euler,16,349,301,349,301,1024
ce_s1,ce,,1,neighbor,16,328,277,328,277,1024
ce_s1,ce,,1,entropy,16,125,113,125,113,1024
ce_s1,ce,,1,euler,32,414,338,414,338,1024
ce_s1,ce,,1,neighbor,32,417,349,417,349,1024
ce_s1,ce,,1,entropy,32,281,241,281,241,1024
ce_s1,ce,,1,euler,64,474,390,474,390,1024
ce_s1,ce,,1,neighbor,64,473,386,473,386,1024
ce_s1,ce,,1,entropy,64,385,322,385,322,1024
ce_s1,ce,,1,euler,128,439,354,439,354,1024
ce_s1,ce,,1,neighbor,128,493,398,493,398,1024
ce_s1,ce,,1,entropy,128,479,398,478,398,1024
ce_s1,ce,,1,euler,256,497,396,496,395,1024
ce_s1,ce,,1,neighbor,256,519,414,519,414,1024
ce_s1,ce,,1,entropy,256,544,425,544,425,1024
ce_s2,ce,,2,euler,8,233,207,233,207,1024
ce_s2,ce,,2,neighbor,8,220,193,220,193,1024
ce_s2,ce,,2,entropy,8,52,49,52,49,1024
ce_s2,ce,,2,euler,16,316,267,316,267,1024
ce_s2,ce,,2,neighbor,16,304,268,304,268,1024
ce_s2,ce,,2,entropy,16,111,103,111,103,1024
ce_s2,ce,,2,euler,32,407,338,407,338,1024
ce_s2,ce,,2,neighbor,32,393,334,393,334,1024
ce_s2,ce,,2,entropy,32,252,223,252,223,1024
ce_s2,ce,,2,euler,64,444,367,444,367,1024
ce_s2,ce,,2,neighbor,64,464,385,463,385,1024
ce_s2,ce,,2,entropy,64,382,321,382,321,1024
ce_s2,ce,,2,euler,128,447,382,447,382,1024
ce_s2,ce,,2,neighbor,128,479,396,479,396,1024
ce_s2,ce,,2,entropy,128,459,369,459,369,1024
ce_s2,ce,,2,euler,256,462,385,461,384,1024
ce_s2,ce,,2,neighbor,256,499,409,498,408,1024
ce_s2,ce,,2,entropy,256,522,397,521,396,1024
ce_s3,ce,,3,euler,8,241,208,241,208,1024
ce_s3,ce,,3,neighbor,8,208,178,208,178,1024
ce_s3,ce,,3,entropy,8,59,54,59,54,1024
ce_s3,ce,,3,euler,16,364,299,364,299,1024
ce_s3,ce,,3,neighbor,16,357,307,357,307,1024
ce_s3,ce,,3,entropy,16,134,124,134,124,1024
ce_s3,ce,,3,euler,32,426,355,426,355,1024
ce_s3,ce,,3,neighbor,32,454,371,454,371,1024
ce_s3,ce,,3,entropy,32,282,241,282,241,1024
ce_s3,ce,,3,euler,64,444,353,443,353,1024
ce_s3,ce,,3,neighbor,64,464,381,464,381,1024
ce_s3,ce,,3,entropy,64,396,334,396,334,1024
ce_s3,ce,,3,euler,128,469,389,469,389,1024
ce_s3,ce,,3,neighbor,128,495,397,494,397,1024
ce_s3,ce,,3,entropy,128,490,391,490,391,1024
ce_s3,ce,,3,euler,256,495,396,495,396,1024
ce_s3,ce,,3,neighbor,256,502,405,500,405,1024
ce_s3,ce,,3,entropy,256,554,435,553,435,1024
sce_r1_s0,sce,1,0,euler,8,197,175,197,175,1024
sce_r1_s0,sce,1,0,neighbor,8,175,151,175,151,1024
sce_r1_s0,sce,1,0,entropy,8,37,36,37,36,1024
sce_r1_s0,sce,1,0,euler,16,300,236,300,236,1024
sce_r1_s0,sce,1,0,neighbor,16,295,259,295,259,1024
sce_r1_s0,sce,1,0,entropy,16,120,112,120,112,1024
sce_r1_s0,sce,1,0,euler,32,353,294,353,294,1024
sce_r1_s0,sce,1,0,neighbor,32,357,294,357,294,1024
sce_r1_s0,sce,1,0,entropy,32,234,214,234,214,1024
sce_r1_s0,sce,1,0,euler,64,366,305,366,305,1024
sce_r1_s0,sce,1,0,neighbor,64,429,345,429,345,1024
sce_r1_s0,sce,1,0,entropy,64,348,302,348,302,1024
sce_r1_s0,sce,1,0,euler,128,422,331,422,331,1024
sce_r1_s0,sce,1,0,neighbor,128,431,341,431,341,1024
sce_r1_s0,sce,1,0,entropy,128,411,336,411,336,1024
sce_r1_s0,sce,1,0,euler,256,413,341,413,341,1024
sce_r1_s0,sce,1,0,neighbor,256,443,358,442,357,1024
sce_r1_s0,sce,1,0,entropy,256,492,397,492,397,1024
sce_r1_s1,sce,1,1,euler,8,208,179,208,179,1024
sce_r1_s1,sce,1,1,neighbor,8,181,156,181,156,1024
sce_r1_s1,sce,1,1,entropy,8,37,37,37,37,1024
sce_r1_s1,sce,1,1,euler,16,324,281,324,281,1024
sce_r1_s1,sce,1,1,neighbor,16,263,219,263,219,1024
sce_r1_s1,sce,1,1,entropy,16,113,103,113,103,1024
sce_r1_s1,sce,1,1,euler,32,368,303,368,303,1024
sce_r1_s1,sce,1,1,neighbor,32,372,314,372,314,1024
sce_r1_s1,sce,1,1,entropy,32,240,205,240,205,1024
