count,entropy,label,neighbors,nll,t
21727,1.2083059549331665,ce_r0_s0,0,1.2043870687484741,0.25
7151,1.0757362842559814,ce_r0_s0,1,1.0654226541519165,0.25
838,0.8288992047309875,ce_r0_s0,2,0.818387508392334,0.25
40,0.641807496547699,ce_r0_s0,3,0.6102825403213501,0.25
7038,1.0684154033660889,ce_r0_s0,0,1.0324620008468628,0.5
10211,0.822730541229248,ce_r0_s0,1,0.8000745177268982,0.5
5264,0.5977461934089661,ce_r0_s0,2,0.5784862041473389,0.5
1162,0.4154397249221802,ce_r0_s0,3,0.37364661693573,0.5
88,0.2729630470275879,ce_r0_s0,4,0.29324570298194885,0.5
523,0.7176313996315002,ce_r0_s0,0,0.6603206992149353,0.75
2763,0.6011532545089722,ce_r0_s0,1,0.5627562403678894,0.75
5042,0.4492361843585968,ce_r0_s0,2,0.41894933581352234,0.75
4186,0.34091445803642273,ce_r0_s0,3,0.2984241247177124,0.75
1333,0.25067275762557983,ce_r0_s0,4,0.20744116604328156,0.75
21423,1.2138714790344238,ce_r0_s1,0,1.2055165767669678,0.25
7358,1.0390530824661255,ce_r0_s1,1,1.0279639959335327,0.25
867,0.8177657723426819,ce_r0_s1,2,0.8367524147033691,0.25
39,0.8897241353988647,ce_r0_s1,3,0.9103452563285828,0.25
3,0.24781492352485657,ce_r0_s1,4,2.6500420570373535,0.25
7271,1.056894063949585,ce_r0_s1,0,1.0436162948608398,0.5
10019,0.8008422255516052,ce_r0_s1,1,0.7703863382339478,0.5
5247,0.5954983234405518,ce_r0_s1,2,0.5602438449859619,0.5
1139,0.4455975294113159,ce_r0_s1,3,0.424570232629776,0.5
89,0.20400872826576233,ce_r0_s1,4,0.15461435914039612,0.5
598,0.7301104068756104,ce_r0_s1,0,0.6952679753303528,0.75
2795,0.6029472947120667,ce_r0_s1,1,0.5691243410110474,0.75
4888,0.45116299390792847,ce_r0_s1,2,0.4289831519126892,0.75
4268,0.3272894024848938,ce_r0_s1,3,0.3119809925556183,0.75
1258,0.23163165152072906,ce_r0_s1,4,0.20549188554286957,0.75
21814,1.2056913375854492,ce_r0_s2,0,1.2173089981079102,0.25
7127,1.0710054636001587,ce_r0_s2,1,1.0501447916030884,0.25
826,0.8100948333740234,ce_r0_s2,2,0.7899420261383057,0.25
26,0.5519343614578247,ce_r0_s2,3,0.3646448254585266,0.25
7341,1.02717125415802,ce_r0_s2,0,1.024463415145874,0.5
9985,0.8049371838569641,ce_r0_s2,1,0.7866541743278503,0.5
5196,0.5988380312919617,ce_r0_s2,2,0.5593801140785217,0.5
1172,0.457208514213562,ce_r0_s2,3,0.4481540620326996,0.5
86,0.42006054520606995,ce_r0_s2,4,0.38061442971229553,0.5
619,0.8260676860809326,ce_r0_s2,0,0.8083663582801819,0.75
2767,0.5838843584060669,ce_r0_s2,1,0.5626389384269714,0.75
5037,0.45611944794654846,ce_r0_s2,2,0.41925573348999023,0.75
4182,0.32142266631126404,ce_r0_s2,3,0.29595500230789185,0.75
1306,0.24041491746902466,ce_r0_s2,4,0.2210402935743332,0.75
