kind,label,loss,method,nfe,novel,sce_radius,seed,total,unique_novel,unique_valid,valid
generation,ce_r0_s0,ce,euler,8,206,,0,1024,206,229,229
generation,ce_r0_s0,ce,neighbor,8,176,,0,1024,176,208,208
generation,ce_r0_s0,ce,entropy,8,40,,0,1024,40,42,42
generation,ce_r0_s0,ce,euler,16,297,,0,1024,297,359,359
generation,ce_r0_s0,ce,neighbor,16,288,,0,1024,288,339,339
generation,ce_r0_s0,ce,entropy,16,147,,0,1024,147,153,153
generation,ce_r0_s0,ce,euler,32,320,,0,1024,320,401,401
generation,ce_r0_s0,ce,neighbor,32,336,,0,1024,336,401,401
generation,ce_r0_s0,ce,entropy,32,239,,0,1024,239,261,261
generation,ce_r0_s0,ce,euler,64,330,,0,1024,330,412,412
generation,ce_r0_s0,ce,neighbor,64,383,,0,1024,383,467,467
generation,ce_r0_s0,ce,entropy,64,302,,0,1024,302,354,354
generation,ce_r0_s0,ce,euler,128,369,,0,1024,369,451,451
generation,ce_r0_s0,ce,neighbor,128,373,,0,1024,373,467,467
generation,ce_r0_s0,ce,entropy,128,377,,0,1024,377,453,453
generation,ce_r0_s0,ce,euler,256,385,,0,1024,385,466,467
generation,ce_r0_s0,ce,neighbor,256,396,,0,1024,395,492,493
generation,ce_r0_s0,ce,entropy,256,442,,0,1024,442,550,550
generation,ce_r0_s1,ce,euler,8,219,,1,1024,219,246,246
generation,ce_r0_s1,ce,neighbor,8,186,,1,1024,186,207,207
generation,ce_r0_s1,ce,entropy,8,49,,1,1024,49,53,53
generation,ce_r0_s1,ce,euler,16,301,,1,1024,301,349,349
generation,ce_r0_s1,ce,neighbor,16,277,,1,1024,277,328,328
generation,ce_r0_s1,ce,entropy,16,113,,1,1024,113,125,125
generation,ce_r0_s1,ce,euler,32,338,,1,1024,338,414,414
generation,ce_r0_s1,ce,neighbor,32,349,,1,1024,349,417,417
generation,ce_r0_s1,ce,entropy,32,241,,1,1024,241,281,281
generation,ce_r0_s1,ce,euler,64,390,,1,1024,390,474,474
generation,ce_r0_s1,ce,neighbor,64,386,,1,1024,386,473,473
generation,ce_r0_s1,ce,entropy,64,322,,1,1024,322,385,385
generation,ce_r0_s1,ce,euler,128,354,,1,1024,354,439,439
generation,ce_r0_s1,ce,neighbor,128,398,,1,1024,398,493,493
generation,ce_r0_s1,ce,entropy,128,398,,1,1024,398,478,479
generation,ce_r0_s1,ce,euler,256,396,,1,1024,395,496,497
generation,ce_r0_s1,ce,neighbor,256,414,,1,1024,414,519,519
generation,ce_r0_s1,ce,entropy,256,425,,1,1024,425,544,544
generation,ce_r0_s2,ce,euler,8,207,,2,1024,207,233,233
generation,ce_r0_s2,ce,neighbor,8,193,,2,1024,193,220,220
generation,ce_r0_s2,ce,entropy,8,49,,2,1024,49,52,52
generation,ce_r0_s2,ce,euler,16,267,,2,1024,267,316,316
generation,ce_r0_s2,ce,neighbor,16,268,,2,1024,268,304,304
generation,ce_r0_s2,ce,entropy,16,103,,2,1024,103,111,111
generation,ce_r0_s2,ce,euler,32,338,,2,1024,338,407,407
generation,ce_r0_s2,ce,neighbor,32,334,,2,1024,334,393,393
generation,ce_r0_s2,ce,entropy,32,223,,2,1024,223,252,252
generation,ce_r0_s2,ce,euler,64,367,,2,1024,367,444,444
generation,ce_r0_s2,ce,neighbor,64,385,,2,1024,385,463,464
generation,ce_r0_s2,ce,entropy,64,321,,2,1024,321,382,382
generation,ce_r0_s2,ce,euler,128,382,,2,1024,382,447,447
generation,ce_r0_s2,ce,neighbor,128,396,,2,1024,396,479,479
generation,ce_r0_s2,ce,entropy,128,369,,2,1024,369,459,459
generation,ce_r0_s2,ce,euler,256,385,,2,1024,384,461,462
generation,ce_r0_s2,ce,neighbor,256,409,,2,1024,408,498,499
generation,ce_r0_s2,ce,entropy,256,397,,2,1024,396,521,522
generation,ce_r0_s3,ce,euler,8,208,,3,1024,208,241,241
generation,ce_r0_s3,ce,neighbor,8,178,,3,1024,178,208,208
generation,ce_r0_s3,ce,entropy,8,54,,3,1024,54,59,59
generation,ce_r0_s3,ce,euler,16,299,,3,1024,299,364,364
generation,ce_r0_s3,ce,neighbor,16,307,,3,1024,307,357,357
generation,ce_r0_s3,ce,entropy,16,124,,3,1024,124,134,134
generation,ce_r0_s3,ce,euler,32,355,,3,1024,355,426,426
generation,ce_r0_s3,ce,neighbor,32,371,,3,1024,371,454,454
generation,ce_r0_s3,ce,entropy,32,241,,3,1024,241,282,282
generation,ce_r0_s3,ce,euler,64,353,,3,1024,353,443,444
generation,ce_r0_s3,ce,neighbor,64,381,,3,1024,381,464,464
generation,ce_r0_s3,ce,entropy,64,334,,3,1024,334,396,396
generation,ce_r0_s3,ce,euler,128,389,,3,1024,389,469,469
generation,ce_r0_s3,ce,neighbor,128,397,,3,1024,397,494,495
generation,ce_r0_s3,ce,entropy,128,391,,3,1024,391,490,490
generation,ce_r0_s3,ce,euler,256,396,,3,1024,396,495,495
generation,ce_r0_s3,ce,neighbor,256,405,,3,1024,405,500,502
generation,ce_r0_s3,ce,entropy,256,435,,3,1024,435,553,554
generation,sce_r1_s0,sce,euler,8,175,1,0,1024,175,197,197
generation,sce_r1_s0,sce,neighbor,8,151,1,0,1024,151,175,175
generation,sce_r1_s0,sce,entropy,8,36,1,0,1024,36,37,37
generation,sce_r1_s0,sce,euler,16,236,1,0,1024,236,300,300
generation,sce_r1_s0,sce,neighbor,16,259,1,0,1024,259,295,295
generation,sce_r1_s0,sce,entropy,16,112,1,0,1024,112,120,120
generation,sce_r1_s0,sce,euler,32,294,1,0,1024,294,353,353
generation,sce_r1_s0,sce,neighbor,32,294,1,0,1024,294,357,357
generation,sce_r1_s0,sce,entropy,32,214,1,0,1024,214,234,234
generation,sce_r1_s0,sce,euler,64,305,1,0,1024,305,366,366
generation,sce_r1_s0,sce,neighbor,64,345,1,0,1024,345,429,429
generation,sce_r1_s0,sce,entropy,64,302,1,0,1024,302,348,348
generation,sce_r1_s0,sce,euler,128,331,1,0,1024,331,422,422
generation,sce_r1_s0,sce,neighbor,128,341,1,0,1024,341,431,431
generation,sce_r1_s0,sce,entropy,128,336,1,0,1024,336,411,411
generation,sce_r1_s0,sce,euler,256,341,1,0,1024,341,413,413
generation,sce_r1_s0,sce,neighbor,256,358,1,0,1024,357,442,443
generation,sce_r1_s0,sce,entropy,256,397,1,0,1024,397,492,492
generation,sce_r1_s1,sce,euler,8,179,1,1,1024,179,208,208
generation,sce_r1_s1,sce,neighbor,8,156,1,1,1024,156,181,181
generation,sce_r1_s1,sce,entropy,8,37,1,1,1024,37,37,37
generation,sce_r1_s1,sce,euler,16,281,1,1,1024,281,324,324
generation,sce_r1_s1,sce,neighbor,16,219,1,1,1024,219,263,263
generation,sce_r1_s1,sce,entropy,16,103,1,1,1024,103,113,113
generation,sce_r1_s1,sce,euler,32,303,1,1,1024,303,368,368
generation,sce_r1_s1,sce,neighbor,32,314,1,1,1024,314,372,372
generation,sce_r1_s1,sce,entropy,32,205,1,1,1024,205,240,240
generation,sce_r1_s1,sce,euler,64,346,1,1,1024,346,428,428
generation,sce_r1_s1,sce,neighbor,64,340,1,1,1024,340,420,420
generation,sce_r1_s1,sce,entropy,64,281,1,1,1024,281,319,320
generation,sce_r1_s1,sce,euler,128,333,1,1,1024,332,403,404
generation,sce_r1_s1,sce,neighbor,128,350,1,1,1024,350,421,422
generation,sce_r1_s1,sce,entropy,128,336,1,1,1024,336,424,425
generation,sce_r1_s1,sce,euler,256,340,1,1,1024,340,414,414
generation,sce_r1_s1,sce,neighbor,256,360,1,1,1024,360,454,455
