condition,nfe,euler_valid,neighbor_valid,valid_ratio,euler_novel,neighbor_novel,novel_ratio
temperature 0.8,8,324,271,0.8364197530864198,281,220,0.7829181494661922
temperature 0.8,16,440,419,0.9522727272727273,340,342,1.0058823529411764
temperature 0.8,32,525,508,0.9676190476190476,406,385,0.9482758620689655
temperature 0.8,64,559,579,1.035778175313059,434,448,1.032258064516129
temperature 0.8,128,574,621,1.0818815331010454,421,458,1.0878859857482186
temperature 0.8,256,585,617,1.0547008547008547,458,459,1.002183406113537
temperature 0.9,8,272,232,0.8529411764705882,240,194,0.8083333333333333
temperature 0.9,16,394,380,0.9644670050761421,318,319,1.0031446540880504
temperature 0.9,32,447,434,0.970917225950783,351,355,1.0113960113960114
temperature 0.9,64,487,521,1.0698151950718686,385,423,1.0987012987012987
temperature 0.9,128,501,547,1.091816367265469,386,420,1.0880829015544042
temperature 0.9,256,536,574,1.0708955223880596,432,447,1.0347222222222223
temperature 1.0,8,229,208,0.9082969432314411,206,176,0.8543689320388349
temperature 1.0,16,359,339,0.9442896935933147,297,288,0.9696969696969697
temperature 1.0,32,401,401,1.0,320,336,1.05
temperature 1.0,64,412,467,1.133495145631068,330,383,1.1606060606060606
temperature 1.0,128,451,467,1.0354767184035476,369,373,1.010840108401084
temperature 1.0,256,467,493,1.0556745182012848,385,396,1.0285714285714285
temperature 1.1,8,196,180,0.9183673469387755,175,157,0.8971428571428571
temperature 1.1,16,294,287,0.9761904761904762,255,254,0.996078431372549
temperature 1.1,32,352,349,0.9914772727272727,291,295,1.013745704467354
temperature 1.1,64,358,403,1.1256983240223464,298,338,1.1342281879194631
temperature 1.1,128,405,420,1.037037037037037,341,351,1.029325513196481
temperature 1.1,256,409,435,1.0635696821515892,351,352,1.002849002849003
temperature 1.2,8,168,154,0.9166666666666666,151,138,0.9139072847682119
temperature 1.2,16,255,245,0.9607843137254902,228,223,0.9780701754385965
temperature 1.2,32,304,305,1.0032894736842106,269,265,0.9851301115241635
temperature 1.2,64,310,346,1.1161290322580646,271,303,1.118081180811808
temperature 1.2,128,327,372,1.1376146788990826,275,322,1.170909090909091
temperature 1.2,256,323,363,1.1238390092879258,281,303,1.0782918149466192
neighbor scale 2,8,229,220,0.9606986899563319,206,183,0.8883495145631068
neighbor scale 2,16,359,298,0.83008356545961,297,254,0.8552188552188552
neighbor scale 2,32,401,401,1.0,320,335,1.046875
neighbor scale 2,64,412,444,1.0776699029126213,330,361,1.093939393939394
neighbor scale 2,128,451,484,1.0731707317073171,369,393,1.065040650406504
neighbor scale 2,256,467,480,1.0278372591006424,385,401,1.0415584415584416
neighbor scale 4,8,229,208,0.9082969432314411,206,176,0.8543689320388349
neighbor scale 4,16,359,339,0.9442896935933147,297,288,0.9696969696969697
neighbor scale 4,32,401,401,1.0,320,336,1.05
neighbor scale 4,64,412,467,1.133495145631068,330,383,1.1606060606060606
neighbor scale 4,128,451,467,1.0354767184035476,369,373,1.010840108401084
neighbor scale 4,256,467,493,1.0556745182012848,385,396,1.0285714285714285
neighbor scale 6,8,229,207,0.9039301310043668,206,181,0.8786407766990292
neighbor scale 6,16,359,328,0.9136490250696379,297,277,0.9326599326599326
neighbor scale 6,32,401,406,1.0124688279301746,320,330,1.03125
neighbor scale 6,64,412,491,1.191747572815534,330,396,1.2
neighbor scale 6,128,451,491,1.0886917960088691,369,403,1.0921409214092141
neighbor scale 6,256,467,492,1.0535331905781584,385,399,1.0363636363636364
